date,open,high,low,exchange_rate,volume,dividends,stock splits,base_currency,quote_currency,pair,year,month,monthly_pct_change,yoy_pct_change,quarterly_volatility,annual_volatility,significant_move,ma_12_month,quarter,year_quarter
2019-05-01 00:00:00+01:00,2298.800048828125,2310.5,2245.5,2291.0,0,0.0,0.0,USD,TZS,USD/TZS,2019,5,-0.4042972060476546,0.6723227647057017,9.601537200049172,18.774599188657913,False,2293.4666748046875,2,2019-Q2
2019-06-01 00:00:00+01:00,2253.39990234375,2300.199951171875,2240.300048828125,2298.300048828125,0,0.0,0.0,USD,TZS,USD/TZS,2019,6,0.31864028058161686,1.269004134308216,4.895263375590872,17.20777068262468,False,2295.8666788736978,2,2019-Q2
2019-07-01 00:00:00+01:00,2294.39990234375,2299.300048828125,2244.89990234375,2294.0,0,0.0,0.0,USD,TZS,USD/TZS,2019,7,-0.18709692976413006,0.8883785178158243,3.6692672478565225,15.781825709650114,False,2297.550008138021,3,2019-Q3
2019-08-01 00:00:00+01:00,2269.0,2303.60009765625,2217.10009765625,2293.39990234375,0,0.0,0.0,USD,TZS,USD/TZS,2019,8,-0.026159444474715965,0.7202416488252039,2.6727630113646583,14.498381499800455,False,2298.9166666666665,3,2019-Q3
2019-09-01 00:00:00+01:00,2256.0,2303.60009765625,2233.0,2292.60009765625,0,0.0,0.0,USD,TZS,USD/TZS,2019,9,-0.03487419209718956,0.6055840149389979,0.7023213067042655,13.251361321998706,False,2300.0666707356772,3,2019-Q3
2019-10-01 00:00:00+01:00,2256.800048828125,2298.699951171875,2243.89990234375,2298.300048828125,0,0.0,0.0,USD,TZS,USD/TZS,2019,10,0.24862387372757144,0.582059029677251,3.086005143334479,12.405862947103492,False,2301.175008138021,4,2019-Q4
2019-11-01 00:00:00+00:00,2298.699951171875,2303.39990234375,2252.06591796875,2296.5,0,0.0,0.0,USD,TZS,USD/TZS,2019,11,-0.07832088021069161,0.052278619193502074,2.91372777943941,12.358950948598562,False,2301.2750040690103,4,2019-Q4
2019-12-01 00:00:00+00:00,2252.06591796875,2296.5,2239.271728515625,2293.199951171875,0,0.0,0.0,USD,TZS,USD/TZS,2019,12,-0.14369905630851054,-0.09584173849744859,2.5865515702962347,12.469842521525202,False,2301.0916748046875,4,2019-Q4
2020-01-01 00:00:00+00:00,2292.60009765625,2305.199951171875,2246.319580078125,2264.81103515625,0,0.0,0.0,USD,TZS,USD/TZS,2020,1,-1.237960780572911,-1.9604805240235557,17.42130576659194,15.882165231396952,False,2297.317586263021,1,2020-Q1
2020-02-01 00:00:00+00:00,2305.199951171875,2306.10009765625,2253.488037109375,2303.800048828125,0,0.0,0.0,USD,TZS,USD/TZS,2020,2,1.721512879735032,-1.3446344210478633,20.159513097500618,10.86889148970765,False,2294.700927734375,1,2020-Q1
